Latitude,Longitude,country,ni-lcm-2_1
54.69,-5.90,N.Ireland,13.50112303
54.68,-5.88,N.Ireland,13.08722079
54.68,-5.87,N.Ireland,13.69000429
54.64,-5.68,N.Ireland,13.41550211
54.19,-5.89,N.Ireland,1.93508101
54.98,-7.29,N.Ireland,5.824918697
54.58,-5.78,N.Ireland,43.02662702
54.12,-6.48,N.Ireland,1.547318882
55.18,-6.64,N.Ireland,41.99153766
54.98,-7.29,N.Ireland,5.824918697
55.17,-6.71,N.Ireland,25.86001262
55.17,-6.70,N.Ireland,26.67704475
55.14,-6.67,N.Ireland,24.20968259
55.14,-6.67,N.Ireland,24.20968259
54.68,-5.88,N.Ireland,10.9218153
